EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
-44793.078125,-37075.64453125,228576.453125,180488.203125,234234.9375,13733.2705078125,224601.875,179401.453125
-52.66071319580078,1526.1771240234375,1015.0374755859375,453.6510314941406,5494.68505859375,-11106.224609375,1210.4810791015625,5546.27294921875
22.97759437561035,239.7001190185547,0.0,69.55863189697266,3722.370361328125,-14572.623046875,812.3518676757812,2892.673583984375
-457.227294921875,-1067.876953125,0.0,45.50815200805664,1338.3331298828125,-2410.412353515625,1147.002197265625,-269.0256042480469
-1368.552734375,-1294.2554931640625,7.420779705047607,0.9834768176078796,-899.613037109375,541.4486694335938,1046.3299560546875,-1510.2626953125
-1837.22412109375,-1179.0992431640625,630.6768798828125,65.44590759277344,-1563.906982421875,-1129.1207275390625,332.2363586425781,-1633.6444091796875
-2287.567138671875,-1009.2260131835938,2601.206787109375,649.631103515625,-2029.8961181640625,-1952.7379150390625,-551.9093017578125,-1403.5108642578125
-1946.300537109375,-775.6949462890625,7442.50537109375,1279.4139404296875,-1774.0133056640625,-1594.484130859375,-719.2791748046875,-990.271728515625
-1510.8885498046875,-333.57745361328125,17411.025390625,2354.0859375,-1410.931640625,-820.4878540039062,-835.5082397460938,-330.2693786621094
-1189.470458984375,-75.6383056640625,9292.0673828125,4700.39306640625,-1096.3084716796875,-74.56542205810547,-749.4093017578125,65.80353546142578
-1015.4844970703125,-468.13494873046875,1854.8372802734375,2652.794677734375,-875.9202270507812,-435.4120178222656,-732.600830078125,-559.5089111328125
-884.6820678710938,-656.8731079101562,110.32821655273438,-598.6691284179688,-701.7554321289062,-639.7069702148438,-562.0122680664062,-688.2549438476562
-787.31787109375,-603.5865478515625,-658.035400390625,-599.20556640625,-600.81494140625,-537.9617919921875,-437.4683532714844,-653.9226684570312
-736.6241455078125,-592.0530395507812,-591.5166015625,-591.7847900390625,-545.740234375,-474.2146301269531,-342.69696044921875,-683.6951904296875
-742.6143798828125,-656.8731079101562,-577.4796752929688,-637.8294067382812,-528.3058471679688,-466.525634765625,-272.6018981933594,-770.1517333984375
-835.0612182617188,-818.4315185546875,-638.99169921875,-729.7398071289062,-575.42333984375,-567.376708984375,-240.0577392578125,-950.396240234375
-807.5238647460938,-798.1361083984375,-518.3816528320312,-617.2658081054688,-610.560302734375,-553.42919921875,-274.8370666503906,-894.6956787109375
-602.960693359375,-508.7257385253906,-514.1795654296875,-344.8427429199219,-390.79791259765625,-306.04010009765625,-205.8148651123047,-535.63720703125
-380.60552978515625,-305.8612976074219,-434.6073303222656,-296.74176025390625,-256.5086364746094,-256.5980529785156,-226.5572967529297,-300.94390869140625
-251.85946655273438,-216.1860809326172,-260.8001708984375,-259.01202392578125,-213.95091247558594,-229.68653869628906,-199.0199432373047,-170.6779327392578
-222.8022003173828,-198.03646850585938,-207.78182983398438,-215.1132049560547,-196.60595703125,-212.7886199951172,-182.47964477539062,-152.17068481445312
-215.73904418945312,-193.655517578125,-201.7021484375,-208.49708557128906,-191.42034912109375,-206.79835510253906,-177.74107360839844,-147.61093139648438
-210.28521728515625,-189.81101989746094,-196.87417602539062,-203.57969665527344,-186.860595703125,-201.7021484375,-174.164794921875,-143.58761596679688
-204.7419891357422,-186.32415771484375,-193.02967834472656,-198.6623077392578,-183.37371826171875,-197.14239501953125,-171.30377197265625,-140.5477752685547
-199.73519897460938,-183.28431701660156,-189.1851806640625,-194.9072265625,-179.4398193359375,-192.85086059570312,-168.17453002929688,-137.4185333251953
-195.2648468017578,-180.33387756347656,-185.34066772460938,-190.79449462890625,-175.86354064941406,-189.2745819091797,-165.58172607421875,-135.183349609375
-190.79449462890625,-178.00930786132812,-181.76438903808594,-187.39703369140625,-172.82369995117188,-186.05592346191406,-163.4359588623047,-133.1269989013672
-187.39703369140625,-175.41650390625,-178.63514709472656,-184.35719299316406,-169.87326049804688,-182.56906127929688,-161.11138916015625,-130.1765594482422
-183.37371826171875,-173.1813201904297,-175.86354064941406,-181.2279510498047,-167.10165405273438,-179.5292205810547,-158.3397674560547,-127.85198211669922
-180.1550750732422,-171.12496948242188,-173.0919189453125,-178.54574584960938,-164.41943359375,-176.31056213378906,-156.46221923828125,-126.24266052246094
-177.2046356201172,-168.71096801757812,-170.49911499023438,-175.68472290039062,-161.7372283935547,-172.73428344726562,-154.85289001464844,-124.45452117919922
-174.25421142578125,-166.3863983154297,-168.26394653320312,-173.36013793945312,-159.50205993652344,-170.49911499023438,-153.15415954589844,-122.8451919555664
-171.57199096679688,-164.86647033691406,-165.93936157226562,-170.58851623535156,-157.53509521484375,-168.26394653320312,-151.1872100830078,-121.32527160644531
-169.51564025878906,-163.4359588623047,-163.61477661132812,-168.4427490234375,-155.65756225585938,-165.7605438232422,-149.6672821044922,-119.98416900634766
-167.4592742919922,-161.6478271484375,-161.7372283935547,-166.20758056640625,-154.04823303222656,-163.52537536621094,-148.05796813964844,-118.55365753173828
-165.1346893310547,-159.77027893066406,-159.77027893066406,-164.59825134277344,-152.34950256347656,-160.75375366210938,-146.80625915527344,-117.48077392578125
-162.98892211914062,-157.9821319580078,-157.9821319580078,-162.720703125,-150.5613555908203,-159.05502319335938,-145.1969451904297,-116.3184814453125
-161.29019165039062,-156.46221923828125,-156.19400024414062,-161.02197265625,-148.77322387695312,-157.62451171875,-143.49819946289062,-115.33500671386719
-159.6808624267578,-155.2105255126953,-154.76348876953125,-159.2338409423828,-147.1638946533203,-155.92578125,-142.2465057373047,-114.08330535888672
-157.9821319580078,-154.22705078125,-153.24356079101562,-157.7139129638672,-145.82278442382812,-153.86941528320312,-141.35243225097656,-113.0998306274414
-156.37281799316406,-152.6177215576172,-151.81304931640625,-156.10458374023438,-144.66049194335938,-152.08128356933594,-140.27955627441406,-112.295166015625
-154.85289001464844,-151.45542907714844,-150.65077209472656,-154.674072265625,-143.22998046875,-150.74017333984375,-138.7596435546875,-111.57991027832031
-153.6905975341797,-150.2037353515625,-149.2202606201172,-153.24356079101562,-141.88888549804688,-148.8626251220703,-137.4185333251953,-110.95406341552734
-152.52830505371094,-149.13084411621094,-147.879150390625,-152.17068481445312,-140.72659301757812,-147.78973388671875,-136.61386108398438,-110.05999755859375
-151.45542907714844,-148.14736938476562,-146.80625915527344,-150.9189910888672,-139.56430053710938,-146.35922241210938,-135.8986053466797,-109.43414306640625
-150.11431884765625,-147.2532958984375,-146.09100341796875,-149.4884796142578,-138.67022705078125,-145.28634643554688,-135.00454711914062,-108.71888732910156
-149.13084411621094,-145.91220092773438,-144.74990844726562,-148.41558837890625,-137.59735107421875,-144.12405395507812,-134.0210723876953,-107.91423034667969
-148.32618713378906,-144.9287109375,-143.8558349609375,-147.43211364746094,-136.5244598388672,-142.8723602294922,-133.30581665039062,-107.46719360351562
-147.2532958984375,-144.03465270996094,-142.5147247314453,-146.5380401611328,-135.8092041015625,-141.88888549804688,-132.5011444091797,-107.02015686035156
-146.180419921875,-143.22998046875,-141.62066650390625,-145.37574768066406,-134.64691162109375,-140.72659301757812,-131.51766967773438,-106.5731201171875
-144.9287109375,-142.33592224121094,-141.1736297607422,-144.481689453125,-133.84225463867188,-139.83251953125,-130.7130126953125,-106.03668212890625
-144.12405395507812,-141.79946899414062,-140.27955627441406,-144.03465270996094,-133.57403564453125,-139.02786254882812,-130.1765594482422,-105.58964538574219
-143.58761596679688,-141.08421325683594,-139.4748992919922,-143.1405792236328,-132.67996215820312,-137.95497131347656,-129.3719024658203,-105.14260864257812
-142.69354248046875,-140.27955627441406,-138.4914093017578,-142.33592224121094,-131.96470642089844,-137.1503143310547,-128.7460479736328,-104.78498077392578
-142.06768798828125,-139.2066650390625,-137.86557006835938,-141.4418487548828,-130.98123168945312,-136.43505859375,-128.03079223632812,-104.33795166015625
-141.35243225097656,-138.4914093017578,-137.23971557617188,-140.90541076660156,-130.62359619140625,-135.54098510742188,-127.49435424804688,-104.0697250366211
-140.5477752685547,-137.86557006835938,-136.7926788330078,-140.01133728027344,-129.9977569580078,-134.736328125,-126.8685073852539,-104.0697250366211
-139.9219207763672,-137.5079345703125,-136.07742309570312,-139.38548278808594,-129.28250122070312,-134.37869262695312,-126.51087951660156,-103.44387817382812
-139.02786254882812,-136.88209533691406,-135.63038635253906,-138.8490447998047,-128.7460479736328,-133.3952178955078,-126.15325164794922,-103.1756591796875
-138.4914093017578,-136.43505859375,-135.183349609375,-138.2231903076172,-128.388427734375,-132.7693634033203,-125.52740478515625,-102.5498046875
-138.1337890625,-135.8986053466797,-134.37869262695312,-137.77615356445312,-128.03079223632812,-132.23292541503906,-125.08036804199219,-102.28158569335938
-137.59735107421875,-135.183349609375,-133.75283813476562,-137.1503143310547,-127.67317199707031,-131.51766967773438,-124.45452117919922,-102.3709945678711
-137.32913208007812,-134.736328125,-133.484619140625,-136.5244598388672,-126.95791625976562,-130.89181518554688,-123.91807556152344,-102.10277557373047
-136.88209533691406,-134.4680938720703,-133.03758239746094,-135.98802185058594,-126.33206939697266,-130.62359619140625,-123.29222869873047,-101.83454895019531
-136.43505859375,-134.0210723876953,-132.5011444091797,-135.63038635253906,-126.0638427734375,-130.1765594482422,-123.38163757324219,-101.56632995605469
-135.7198028564453,-133.57403564453125,-132.05410766601562,-135.183349609375,-125.61680603027344,-129.3719024658203,-122.93460083007812,-101.47692108154297
-135.54098510742188,-133.30581665039062,-131.785888671875,-134.736328125,-125.08036804199219,-128.92486572265625,-122.30875396728516,-101.11929321289062
-135.36216735839844,-133.03758239746094,-131.51766967773438,-134.1104736328125,-124.90155029296875,-128.4778289794922,-121.77230834960938,-100.76166534423828
-134.55751037597656,-132.67996215820312,-130.98123168945312,-134.0210723876953,-124.63333129882812,-128.2990264892578,-121.77230834960938,-100.6722640991211
-134.1998748779297,-132.23292541503906,-130.7130126953125,-134.0210723876953,-124.18629455566406,-128.03079223632812,-121.41468048095703,-100.76166534423828
-134.0210723876953,-131.785888671875,-130.26597595214844,-133.30581665039062,-123.73926544189453,-127.67317199707031,-121.05705261230469,-100.76166534423828
-133.66343688964844,-131.24945068359375,-130.1765594482422,-132.94818115234375,-123.47103881835938,-127.49435424804688,-120.87824249267578,-100.58285522460938
-133.1269989013672,-130.89181518554688,-129.9977569580078,-132.67996215820312,-123.02400970458984,-126.95791625976562,-120.69942474365234,-100.40403747558594
-132.94818115234375,-130.44479370117188,-129.64012145996094,-132.32232666015625,-122.75578308105469,-126.51087951660156,-120.61001586914062,-100.22522735595703
-132.59056091308594,-130.44479370117188,-129.1036834716797,-131.87530517578125,-122.75578308105469,-126.24266052246094,-120.25238800048828,-100.22522735595703
-132.23292541503906,-129.9977569580078,-129.1036834716797,-131.785888671875,-122.30875396728516,-125.79562377929688,-119.71595001220703,-99.86759948730469
-132.23292541503906,-129.81893920898438,-128.7460479736328,-131.16004943847656,-122.12993621826172,-125.52740478515625,-119.5371322631836,-99.68878173828125
-131.60707092285156,-129.3719024658203,-128.388427734375,-131.0706329345703,-122.12993621826172,-125.52740478515625,-119.26891326904297,-99.50997161865234
-131.4282684326172,-129.3719024658203,-128.20960998535156,-130.8024139404297,-121.68289947509766,-125.2591781616211,-119.09010314941406,-99.3311538696289
-131.24945068359375,-129.19308471679688,-128.12020874023438,-130.44479370117188,-121.50408935546875,-124.90155029296875,-119.09010314941406,-99.3311538696289
-131.0706329345703,-128.7460479736328,-127.5837631225586,-130.62359619140625,-121.50408935546875,-124.63333129882812,-118.55365753173828,-99.15234375
-130.98123168945312,-128.65664672851562,-127.49435424804688,-130.26597595214844,-121.23587036132812,-124.3651123046875,-118.37484741210938,-98.88412475585938
-130.89181518554688,-128.4778289794922,-127.40495300292969,-130.26597595214844,-121.05705261230469,-124.00748443603516,-118.46424865722656,-98.79471588134766
-130.53419494628906,-128.388427734375,-126.95791625976562,-129.9977569580078,-120.87824249267578,-123.91807556152344,-118.37484741210938,-98.88412475585938
-130.35537719726562,-128.12020874023438,-126.689697265625,-129.90834045410156,-120.78883361816406,-123.5604476928711,-118.10662078857422,-98.88412475585938
-130.1765594482422,-127.85198211669922,-126.689697265625,-129.7295379638672,-120.69942474365234,-123.29222869873047,-117.92781066894531,-98.79471588134766
-130.1765594482422,-127.76258087158203,-126.42147064208984,-129.3719024658203,-120.43120574951172,-123.11341094970703,-117.74899291992188,-98.88412475585938
-129.81893920898438,-127.5837631225586,-126.24266052246094,-128.92486572265625,-120.07357788085938,-123.02400970458984,-117.65959167480469,-98.70530700683594
-129.7295379638672,-127.22613525390625,-126.42147064208984,-128.83546447753906,-119.89476013183594,-122.8451919555664,-117.74899291992188,-98.43708801269531
-129.90834045410156,-126.8685073852539,-125.97444152832031,-128.83546447753906,-119.80535888671875,-122.6663818359375,-117.48077392578125,-98.43708801269531
-129.55072021484375,-126.8685073852539,-125.70621490478516,-128.7460479736328,-119.89476013183594,-122.57697296142578,-117.1231460571289,-98.52649688720703
-129.0142822265625,-126.8685073852539,-125.70621490478516,-128.4778289794922,-119.5371322631836,-122.39815521240234,-116.9443359375,-98.25827026367188
-128.83546447753906,-126.8685073852539,-125.61680603027344,-128.388427734375,-119.5371322631836,-122.21934509277344,-116.76551818847656,-98.07946014404297
-128.83546447753906,-126.689697265625,-125.43799591064453,-128.20960998535156,-119.35832214355469,-121.95112609863281,-116.85492706298828,-98.07946014404297
-128.92486572265625,-126.8685073852539,-125.34858703613281,-127.94139099121094,-119.26891326904297,-121.8617172241211,-116.49729919433594,-98.07946014404297
-128.83546447753906,-126.60028839111328,-125.1697769165039,-127.85198211669922,-119.17950439453125,-121.77230834960938,-116.49729919433594,-97.99005126953125
-128.4778289794922,-126.33206939697266,-124.81214904785156,-127.85198211669922,-119.09010314941406,-121.50408935546875,-116.22908020019531,-97.99005126953125
-128.388427734375,-126.24266052246094,-124.99095916748047,-127.76258087158203,-118.8218765258789,-121.32527160644531,-115.87145233154297,-97.99005126953125
-128.4778289794922,-126.15325164794922,-124.90155029296875,-127.49435424804688,-118.73247528076172,-121.32527160644531,-116.05026245117188,-97.81124114990234
-128.2990264892578,-126.0638427734375,-124.72274017333984,-127.49435424804688,-118.91128540039062,-121.50408935546875,-116.1396713256836,-97.6324234008789
-127.94139099121094,-125.70621490478516,-124.5439224243164,-127.40495300292969,-118.73247528076172,-121.23587036132812,-116.05026245117188,-97.81124114990234
-128.03079223632812,-125.52740478515625,-124.63333129882812,-127.31554412841797,-118.73247528076172,-121.05705261230469,-115.87145233154297,-97.6324234008789
-128.03079223632812,-125.34858703613281,-124.63333129882812,-127.13672637939453,-118.55365753173828,-120.87824249267578,-115.69263458251953,-97.54301452636719
-128.03079223632812,-125.34858703613281,-124.5439224243164,-127.04732513427734,-118.28543853759766,-120.78883361816406,-115.69263458251953,-97.6324234008789
-127.94139099121094,-125.34858703613281,-124.63333129882812,-126.95791625976562,-118.37484741210938,-120.78883361816406,-115.51382446289062,-97.54301452636719
-127.94139099121094,-125.34858703613281,-124.45452117919922,-126.8685073852539,-118.46424865722656,-120.78883361816406,-115.4244155883789,-97.45361328125
-127.5837631225586,-125.2591781616211,-124.27570343017578,-126.8685073852539,-118.28543853759766,-120.69942474365234,-115.4244155883789,-97.36420440673828
-127.5837631225586,-125.1697769165039,-124.18629455566406,-126.689697265625,-118.01721954345703,-120.43120574951172,-115.24559783935547,-97.36420440673828
-127.40495300292969,-125.08036804199219,-124.27570343017578,-126.689697265625,-118.10662078857422,-120.1629867553711,-115.24559783935547,-97.36420440673828
-127.13672637939453,-124.99095916748047,-124.27570343017578,-126.77909851074219,-117.8384017944336,-120.43120574951172,-115.4244155883789,-97.36420440673828
-127.31554412841797,-124.90155029296875,-124.09689331054688,-126.689697265625,-117.92781066894531,-120.341796875,-115.51382446289062,-97.18538665771484
-127.13672637939453,-124.81214904785156,-124.00748443603516,-126.689697265625,-117.65959167480469,-120.1629867553711,-115.4244155883789,-97.45361328125
