EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,561937.000,-519273.700,661495.500,711947.300,-42866.000,750000.100,638759.900,0.000
750000.100,286108.000,4158.229,739126.600,690819.100,-128196.400,750000.100,259578.200,0.000
748245.600,49906.800,282845.500,750000.100,626584.800,-399904.600,750000.100,125913.300,0.000
750000.100,-310258.200,516261.900,750000.100,696531.300,-37209.490,750000.100,18009.250,0.000
750000.100,-750000.100,584383.300,750000.100,750000.100,750000.100,750000.100,446474.700,0.000
750000.100,-295352.800,719131.900,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
727220.400,750000.100,750000.100,750000.100,750000.100,742093.300,683358.700,750000.100,0.000
616188.600,712994.600,750000.100,750000.100,649882.000,628415.600,578818.900,642950.900,0.000
527057.900,609449.900,750000.100,750000.100,555828.400,537425.800,495045.200,550199.100,0.000
453325.800,523831.000,750000.100,750000.100,477823.100,462061.000,425479.200,472978.900,0.000
391746.700,452085.700,750000.100,736627.200,411870.700,398889.300,367239.500,408064.300,0.000
340577.000,392546.000,716693.300,638446.300,357258.000,346564.600,318974.100,354443.200,0.000
306372.800,352865.000,642668.500,572972.100,321206.800,311665.800,286823.500,318903.200,0.000
293620.800,338140.300,614406.700,548120.300,308115.900,298709.800,274937.100,305825.900,0.000
285451.600,328685.200,595924.700,531863.700,299622.700,290408.400,267260.800,297278.800,0.000
277904.400,319819.300,578734.500,516785.400,291250.800,282620.000,259961.800,289098.400,0.000
270968.100,311663.600,563001.900,503047.300,283458.800,275405.400,253284.200,281645.600,0.000
264579.700,304314.900,548789.400,490592.400,276761.200,268883.400,247361.800,275130.000,0.000
258662.100,297633.400,535794.300,479105.300,270953.000,262975.500,242006.700,269247.300,0.000
253103.700,291309.400,523513.200,468195.600,265304.600,257388.500,236850.600,263488.700,0.000
247902.400,285257.200,511852.600,457902.000,259541.300,252043.000,231846.700,257823.100,0.000
243104.700,279643.400,501079.100,448467.700,254123.200,247062.900,227243.400,252652.800,0.000
238669.000,274573.600,491310.700,439897.000,249524.300,242558.300,223171.200,248174.600,0.000
234512.100,269922.400,482295.300,431890.300,245559.100,238442.000,219461.900,244111.300,0.000
230554.600,265443.200,473640.100,424164.400,241603.500,234495.200,215813.800,240040.300,0.000
226827.400,261100.700,465311.800,416793.300,237431.500,230663.800,212206.000,235943.100,0.000
223368.500,257040.500,457565.000,410005.800,233457.900,227066.200,208866.700,232193.900,0.000
220171.000,253388.000,450553.500,403852.200,230155.800,223826.000,205945.400,228998.700,0.000
217146.800,250027.600,444052.700,398059.600,227355.600,220850.700,203276.100,226094.300,0.000
214247.200,246761.000,437734.400,392399.600,224506.800,217969.600,200613.400,223118.200,0.000
211496.200,243533.000,431564.500,386928.500,221384.200,215124.800,197922.700,220053.500,0.000
208929.000,240488.200,425791.200,381881.200,218365.900,212426.200,195411.400,217233.400,0.000
206550.900,237762.100,420586.300,377316.500,215913.800,210008.900,193249.300,214870.700,0.000
204310.500,235280.700,415775.500,373014.300,213902.200,207820.800,191297.100,212763.000,0.000
202149.700,232847.800,411045.200,368752.900,211802.500,205678.600,189314.000,210537.200,0.000
200072.000,230399.200,406351.700,364584.800,209392.800,203522.800,187260.200,208182.600,0.000
198136.300,228083.600,401955.800,360747.600,207043.700,201467.400,185343.500,206021.000,0.000
196338.600,226023.100,398012.500,357296.800,205188.700,199632.000,183710.100,204251.700,0.000
194630.100,224150.300,394366.400,354034.900,203717.200,197967.500,182240.400,202672.500,0.000
192970.000,222289.800,390743.600,350757.200,202146.200,196331.600,180717.300,200969.600,0.000
191375.100,220390.700,387105.300,347515.900,200262.300,194665.200,179115.100,199116.600,0.000
189882.900,218581.600,383686.500,344537.200,198400.200,193062.000,177614.000,197417.700,0.000
188508.200,217002.100,380659.500,341898.200,196982.700,191655.000,176372.300,196089.900,0.000
187200.400,215582.500,377872.400,339395.000,195910.900,190399.100,175274.300,194924.800,0.000
185911.100,214148.000,375053.300,336824.100,194720.500,189145.200,174104.500,193611.300,0.000
184665.700,212658.800,372177.100,334270.700,193215.000,187844.000,172839.300,192139.600,0.000
183508.600,211239.000,369471.100,331934.600,191705.600,186577.900,171650.900,190792.800,0.000
182439.500,210009.300,367106.300,329883.900,190605.700,185473.700,170688.400,189768.000,0.000
